round,comp_time,comm_time,overhead,mse,f1,mode,clients
44,0.5193305015563965,2.0000808238983154,0.08000000000000004,2684.659596162684,0.6574806004786424,BlockFL,20
45,0.5371699333190918,2.0000810623168945,0.08000000000000004,2719.6321590647976,0.6845064408227173,BlockFL,20
46,0.5271167755126953,2.000081777572632,0.08000000000000004,3824.61381261489,0.6546987426411803,BlockFL,20
47,0.5435686111450195,2.000089168548584,0.08000000000000004,4070.087603400735,0.6937102473498233,BlockFL,20
48,0.5995028018951416,2.000077962875366,0.08000000000000004,3784.12105066636,0.6684931506849315,BlockFL,20
49,0.5329110622406006,2.0000691413879395,0.08000000000000004,2819.2850916245407,0.6393744928819061,BlockFL,20
0,0.5323469638824463,0.14011168479919434,18.401000000000007,0.570588222321342,0.6835298320828868,Ours,20
1,0.5382955074310303,0.14010071754455566,18.401000000000007,0.48515261183766756,0.6856449771689498,Ours,20
2,0.5468912124633789,0.1401069164276123,18.401000000000007,0.43830886833808,0.6906894100923952,Ours,20
3,0.538787841796875,0.14010334014892578,18.401000000000007,0.4060380318585564,0.7085698269217294,Ours,20
4,0.5491549968719482,0.1401066780090332,18.401000000000007,0.3795742629205479,0.7442113865431762,Ours,20
5,0.5470755100250244,0.1401054859161377,18.401000000000007,0.3559550686794169,0.7462260301917585,Ours,20
6,0.5257468223571777,0.14011573791503906,18.401000000000007,0.33521389610627117,0.7472826086956522,Ours,20
7,0.5332629680633545,0.14010143280029297,18.401000000000007,0.31642769101788015,0.7517260051441722,Ours,20
8,0.5297038555145264,0.1401050090789795,18.401000000000007,0.29950709903941436,0.7518460808888286,Ours,20
9,0.5298101902008057,0.14011430740356445,18.401000000000007,0.2846009073888554,0.7517615176151762,Ours,20
10,0.5329790115356445,0.14011168479919434,18.401000000000007,0.2698584150742082,0.7525382428590768,Ours,20
11,0.5216448307037354,0.1401069164276123,12.881,0.25672316069112106,0.7499152139998644,Ours,20
12,0.552640438079834,0.14010119438171387,12.881,0.24539359439821803,0.7499830473994711,Ours,20
13,0.5273745059967041,0.1401069164276123,12.881,0.23535115929210887,0.7519458544839256,Ours,20
14,0.5371224880218506,0.14008760452270508,12.881,0.22614432476899204,0.7536329841162555,Ours,20
15,0.5264286994934082,0.14010000228881836,12.881,0.21781595621038885,0.7546252532072923,Ours,20
16,0.5287830829620361,0.14011406898498535,12.881,0.21039697045789046,0.7567494600431965,Ours,20
17,0.5333156585693359,0.14010262489318848,12.881,0.2034610803512966,0.7589135269933275,Ours,20
18,0.5848875045776367,0.1400752067565918,12.881,0.19715431157280416,0.7706507925891245,Ours,20
